Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;311124;;;Optiline Installationskanaler =S=;71,10;;;;
V;311126;;;TIR-Kanaler Thorsman =S=;74,97;;;;
V;311129;;;Mini-Kanaler 7D =S=;76,78;;;;
V;311132;;;Optiline Förinstallerat 7D =S=;70,55;;;;
V;311133;;;Optiline Förinstallerat 7D =S=;70,60;;;;
V;311140;;;Thorsman Förinstallerat J4 =S=;67,99;;;;
V;311141;;;Thorsman Förinstallerat JH JQ =S=;70,35;;;;
V;311142;;;Cyb Anslutningssystem  7B =S=;77,26;;;;
V;311145;;;Kanaler Stago Wibe IS;42,86;;;;
V;311146;;;Kanaler Stago Wibe IS;50,00;;;;
V;311147;;;Kanaler Stago tbh Wibe IS;42,86;;;;
V;311148;;;Kanaler Stago tbh  Wibe IS;51,02;;;;
V;311149;;;Kanaler Stago apparater Wibe IS;42,86;;;;
V;311150;;;Kanaler Plast Thorsman J1 =S=;77,05;;;;
V;311152;;;Kanaler Metall Thorsman J1 =S=;76,51;;;;
V;311154;;;Tbh Kanaler Thorsman J1 =S=;76,69;;;;
V;311156;;;Uttagsboxar Thorsman J1 =S=;72,05;;;;
V;311158;;;Uttagssyst.CAN/CYB Thorsman 7E =S=;63,95;;;;
V;311160;;;Lätta stegar Fzs C2 - Wibe CL;63,03;;;;
V;311162;;;Tunga stegar Fzs C2 - Wibe CL;60,31;;;;
V;311164;;;Lätta stegar Z+ C4 - Wibe CL;49,89;;;;
V;311166;;;Tunga stegar Fzv C4 - Wibe CL;66,16;;;;
V;311168;;;Förstärkta stegar KHZV/KHZPV C4 -Wibe CL;66,96;;;;
V;311174;;;Kabelränna Fzs C2 - Wibe CT;58,49;;;;
V;311175;;;Kabelränna Fzv C4 - Wibe SO;52,20;;;;
V;311176;;;Kabelränna Fzv C4 - Wibe CT;52,20;;;;
V;311177;;;kabelrännor C5-I - Wibe CT;57,46;;;;
V;311178;;;Kabelstegar C5-I - Wibe CL;54,00;;;;
V;311181;;;Övriga tbh Fzs C2 - Wibe SO;66,16;;;;
V;311183;;;Övriga tbh Fzs vit/svart C2 - Wibe SO;62,14;;;;
V;311185;;;Övriga tbh Fzv C4 - Wibe SO;67,89;;;;
V;311187;;;Tillbehör C5-I - Wibe SO;57,46;;;;
V;311189;;;CLX3 Fzs C2 - Wibe SO;62,14;;;;
V;311190;;;Unica system + =S=;50,03;;;;
V;311192;;;Syrafast Rostfritt - Wibe SS;54,83;;;;
V;311196;;;Stago fiberränna - Wibe SO;58,49;;;;
V;311197;;;Stago fiberränna tbh - Wibe CT;58,49;;;;
V;311198;;;Mitaflex Wibe;35,71;;;;
V;311200;;;Kabelstegar Mp 001;80,33;;;;
V;311202;;;Rännor MP 002;80,41;;;;
V;311204;;;Tillbehör stegar MP 010;79,80;;;;
V;311205;;;Tillbehör RF/SF MP 029;69,00;;;;
V;311206;;;Profilskenor stegar MP 004;78,13;;;;
V;311208;;;Tbh Stegar & Rännor MP 009;79,38;;;;
V;311210;;;Tbh rännor MP 011;78,34;;;;
V;311220;;;Trådstegar MP 003;75,83;;;;
V;311222;;;Tbh Trådstegar MP 012;77,00;;;;
V;311226;;;Kabelstegar RR o SF MP 028;75,00;;;;
V;311230;;;Uttagsstavar MP 021;80,61;;;;
V;311231;;;Kanaler ALU Tbh MP 022;75,13;;;;
V;311233;;;Kanaler ALU MP  022 023;75,13;;;;
V;311234;;;Uttagssystem MP 024;64,82;;;;
V;311237;;;Tillbehör uttagssystem 034;64,47;;;;
V;311240;;;Golvboxar MP 025;72,00;;;;
V;311250;;;Potentialutjämningsmtrl stegar MP 006;79,50;;;;
V;311300;;;Inst KanalerTbh Hager;71,50;;;;
V;311302;;;F.Bänkskanal &Tbh Hager;70,40;;;;
V;311310;;;Uttagsstavar Hager;76,00;;;;
V;311312;;;Golvboxar Hager;66,00;;;;
V;311401;;;Skruv- och slagsystem OBO;68,78;;;;
V;311402;;;Trådstegar tbh OBO;72,00;;;;
V;311406;;;Kabelrännsystem OBO;72,37;;;;
V;311408;;;Trådstegar OBO;76,00;;;;
V;311502;;;E.L System Kanaler;46,93;;;;
V;311510;;;Kloss Elektroskutt;37,56;;;;
V;311600;;;Tbh Kanaler Rutab;74,80;;;;
V;311900;;;Kabelvagnar Inomec;65,38;;;;
V;311902;;;Elit Installationssystem;63,57;;;;
V;311904;;;KB SYSTEM DWP;47,71;;;;
V;311906;;;Optomize Kanaler;20,73;;;;
V;311912;;;Uttagsstavar +Tbh 52 Elko;64,15;;;;
V;311990;;;Solar Plus Trådstegar o Tbh;50,00;;;;
V;311991;;;Solar Plus Uttagslister;50,00;;;;
V;311994;;;Solar Netto;50,00;;;;
V;311995;;;Solar Plus Installationskanaler o Tbh;50,00;;;;
V;312200;;;Snabbkoppling Ensto;59,80;;;;
V;312300;;;Snabbkoppling Wieland;68,60;;;;
V;312400;;;Snabbkoppling Wago;65,41;;;;
V;312402;;;Tillbehör elbilsladd Wago;44,79;;;;
V;312500;;;Skarvar/Genomföringar Phönix;38,14;;;;
V;312600;;;Snabbkoppling  Rutab;44,90;;;;
V;312994;;;Solar Netto;50,00;;;;
V;313100;;;Ljusreglering Exxact H1 =S= I;67,60;;;;
V;313102;;;Ljusreglering Exxact H1 =S= II;69,50;;;;
V;313104;;;Ljusreglering Exxact H1 =S= III;65,00;;;;
V;313108;;;Tbh ljusreglering Exxact H1 =S=;56,44;;;;
V;313112;;;Ljusreglering universal H1 =S=;62,20;;;;
V;313114;;;Ljusreglering Trend HD =S= II;58,94;;;;
V;313118;;;Ljusreglering Renova H1 =S= I;70,00;;;;
V;313120;;;Ljusreglering Renova H1 =S= II;72,00;;;;
V;313126;;;Ljusreglering Multi Acti9 SA =S=;64,00;;;;
V;313130;;;Rörelse- & närvaro Exxact H1 =S;66,00;;;;
V;313134;;;Rörelse- & närvarodetektor övriga HD =S=;70,00;;;;
V;313137;;;Ljusreglering Wiser light H7 =S=;55,91;;;;
V;313138;;;Ljusreglering Wiser light H5 =S=;60,00;;;;
V;313140;;;Ljusrelä Argus HD =S=;64,00;;;;
V;313142;;;Ljusrelä Multi Acti9 SA =S=O;54,71;;;;
V;313144;;;Trappautomat Multi Acti9 SA =S=O;64,87;;;;
V;313150;;;Rörelse & närvaro Exxact & Renova H1 =S=;66,00;;;;
V;313152;;;Rörelse & närvarodetektor Argus HA =S=;64,00;;;;
V;313160;;;Kopplingsur Acti9 SA =S=;67,38;;;;
V;313162;;;Kopplingsur KNX 5A =S=O;38,01;;;;
V;313200;;;Dimmer RS 49 Elko;67,00;;;;
V;313201;;;Ljusreglering RS Svart 58 Elko;48,50;;;;
V;313202;;;Elektronik PIR RS 49 Elko;64,00;;;;
V;313204;;;Dimmer RS 49 Elko;61,84;;;;
V;313206;;;Dimmer 52 Elko;59,48;;;;
V;313210;;;Dimmer Plus 44 Elko;64,00;;;;
V;313212;;;Dimmer Plus X 56 Elko;67,00;;;;
V;313214;;;Dimmer Plus Tillbehör 43 Elko;63,62;;;;
V;313220;;;Elektronik PIR Plus 44 Elko;63,09;;;;
V;313222;;;Elektronik Fästmateriel 52 Elko;66,60;;;;
V;313226;;;Apparater RS Renvit 58 Elko;64,50;;;;
V;313240;;;DIMMER RG36 ELKO;55,10;;;;
V;313300;;;Rörelse - Och Närvaro Delta SIE;52,04;;;;
V;313304;;;N-komp timers & kopplingsur 025 SIE;65,05;;;;
V;313400;;;Närvarodetektor Esylux I;62,00;;;;
V;313402;;;Närvarodetektor Esylux II;60,03;;;;
V;313406;;;Närvaro- o Rörelsedektektorer  Esylux;61,63;;;;
V;313408;;;Närvaro- o RörelsedetektorTbh Esylux I;59,81;;;;
V;313410;;;Närvaro- o RörelsedetektorTbh Esylux II;46,35;;;;
V;313412;;;Rörelsedetektor Esylux;59,82;;;;
V;313416;;;Skymmningsrelä Esylux;60,64;;;;
V;313500;;;Dimmer ABB;59,15;;;;
V;313502;;;Dimmer Impressivo ABB II;55,29;;;;
V;313504;;;Dimmer Impressivo ABB I;56,73;;;;
V;313506;;;Dimmer Saga ABB;56,02;;;;
V;313510;;;Rörelsevakter ABB I;56,51;;;;
V;313512;;;Rörelsevakter ABB II;53,99;;;;
V;313514;;;Rörelsevakter Saga ABB;56,02;;;;
V;313600;;;Tidsstyrning Theben I;70,00;;;;
V;313602;;;Tidsstyrning Theben II;63,00;;;;
V;313604;;;Dimmer Theben;43,65;;;;
V;313610;;;Ljusrelä - Trappaut Theben;61,15;;;;
V;313614;;;Närvaro- & rörelsedetektorer Theben;60,23;;;;
V;313700;;;Ljusreglering Hager;71,00;;;;
V;313702;;;Ljusreglering Berker S1 Hager;64,00;;;;
